epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5097,1.19127,3.15327,1.40104,0.65113,0.47252,0.48564,0.32301,1.10645,6.53224,1.32851,0.00014,0.00014,0.00014
2,87.3476,1.13783,2.03515,1.32356,0.49438,0.55028,0.45509,0.32388,1.12077,2.58011,1.26075,0.000284258,0.000284258,0.000284258
3,127.657,1.1695,1.84137,1.33602,0.48763,0.41911,0.43766,0.30525,1.27658,3.51444,1.44869,0.000422576,0.000422576,0.000422576
4,166.985,1.16495,1.70466,1.34199,0.57605,0.50588,0.5115,0.32566,1.26175,3.78069,1.44829,0.000554954,0.000554954,0.000554954
5,208.625,1.14094,1.66759,1.30109,0.52974,0.37772,0.46982,0.23363,1.41098,4.78411,1.56296,0.000681392,0.000681392,0.000681392
6,249.008,1.26799,1.7536,1.38532,0.31555,0.57803,0.47607,0.3084,1.3341,3.80269,1.60829,0.00080189,0.00080189,0.00080189
7,288.317,1.24918,1.7799,1.38065,0.23636,0.5003,0.33436,0.17354,1.59372,4.20428,1.96474,0.0008812,0.0008812,0.0008812
8,327.888,1.24486,1.77344,1.40933,0.26193,0.46581,0.26125,0.12996,1.6383,4.0226,2.01258,0.0008614,0.0008614,0.0008614
9,366.592,1.20076,1.66236,1.41071,0.28405,0.44712,0.31979,0.15576,1.63957,3.24906,1.95101,0.0008416,0.0008416,0.0008416
10,405.876,1.20103,1.63235,1.3463,0.4457,0.49093,0.47924,0.29124,1.53371,2.52643,1.68626,0.0008218,0.0008218,0.0008218
11,445.041,1.21541,1.76161,1.35123,0.48796,0.5188,0.37144,0.20978,1.40158,2.31252,1.5804,0.000802,0.000802,0.000802
12,485.602,1.15581,1.57268,1.33227,0.28175,0.37984,0.25598,0.12442,1.52634,3.02946,1.62895,0.0007822,0.0007822,0.0007822
13,531.23,1.12452,1.463,1.31383,0.42456,0.43888,0.38308,0.2355,1.50111,4.57817,1.63422,0.0007624,0.0007624,0.0007624
14,577.076,1.16426,1.46585,1.31275,0.39516,0.50896,0.47895,0.25514,1.53063,3.1589,1.69723,0.0007426,0.0007426,0.0007426
15,620.232,1.12527,1.4919,1.31723,0.58779,0.40447,0.4726,0.29905,1.54031,2.22249,1.70704,0.0007228,0.0007228,0.0007228
16,662.139,1.13506,1.45546,1.31749,0.78874,0.42764,0.42055,0.2435,1.60215,1.96288,1.75163,0.000703,0.000703,0.000703
17,704.939,1.16054,1.38732,1.3138,0.66851,0.37098,0.40203,0.20368,1.77561,2.10871,1.81023,0.0006832,0.0006832,0.0006832
18,748.634,1.08969,1.32437,1.27286,0.44142,0.52487,0.48182,0.22145,1.65523,1.95947,1.7787,0.0006634,0.0006634,0.0006634
19,788.183,1.05761,1.26045,1.25399,0.56559,0.375,0.47111,0.20244,1.61692,2.29807,1.6456,0.0006436,0.0006436,0.0006436
20,825.695,1.09766,1.34336,1.28546,0.74617,0.48064,0.54644,0.31537,1.41451,1.78361,1.54964,0.0006238,0.0006238,0.0006238
21,864.258,1.06758,1.28389,1.25798,0.74231,0.4395,0.5976,0.33763,1.52905,1.63757,1.63832,0.000604,0.000604,0.000604
22,902.243,0.99541,1.23091,1.23417,0.4325,0.52136,0.59975,0.33586,1.43188,2.02011,1.52555,0.0005842,0.0005842,0.0005842
23,939.794,0.99278,1.13536,1.21419,0.78856,0.49683,0.63605,0.31026,1.56997,1.72307,1.66772,0.0005644,0.0005644,0.0005644
24,984.47,1.00936,1.13231,1.23405,0.7841,0.45041,0.64665,0.36004,1.42666,1.77801,1.5212,0.0005446,0.0005446,0.0005446
25,1023.41,1.01437,1.14646,1.24953,0.70799,0.36098,0.55198,0.35539,1.41517,1.91488,1.52165,0.0005248,0.0005248,0.0005248
26,1063.86,0.97444,1.10382,1.20082,0.74132,0.43517,0.55156,0.32452,1.45596,1.88681,1.59423,0.000505,0.000505,0.000505
27,1108.06,0.95389,1.09798,1.2235,0.58854,0.54437,0.6198,0.39766,1.37875,1.8227,1.50436,0.0004852,0.0004852,0.0004852
28,1156.64,0.94474,1.0207,1.19811,0.6605,0.64948,0.71132,0.41507,1.46859,1.60615,1.55672,0.0004654,0.0004654,0.0004654
29,1197.24,0.93927,1.01478,1.19545,0.595,0.64742,0.67479,0.41506,1.4257,1.61558,1.50384,0.0004456,0.0004456,0.0004456
30,1241.57,0.95763,0.97591,1.19029,0.7834,0.53699,0.6278,0.3211,1.55914,1.62164,1.67354,0.0004258,0.0004258,0.0004258
31,1286.27,0.95956,1.02822,1.20247,0.57534,0.51709,0.5693,0.33573,1.43685,1.55671,1.57543,0.000406,0.000406,0.000406
32,1328.03,0.95138,1.02732,1.20341,0.54205,0.62399,0.55843,0.31653,1.42551,2.08906,1.54218,0.0003862,0.0003862,0.0003862
33,1373.07,0.92541,1.03497,1.1816,0.61863,0.57634,0.59193,0.34098,1.45025,1.82547,1.51547,0.0003664,0.0003664,0.0003664
34,1416.36,0.89799,0.92042,1.18837,0.73579,0.62217,0.69747,0.44443,1.38787,1.5557,1.4522,0.0003466,0.0003466,0.0003466
35,1459.87,0.90282,0.88671,1.16542,0.73537,0.60986,0.69535,0.42705,1.41354,1.60516,1.46469,0.0003268,0.0003268,0.0003268
