epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7048,0.43494,1.63885,1.09389,0.96105,1,0.995,0.9624,0.3686,0.94814,0.32104,0.000541044,0.000541044,0.000541044
2,89.0296,0.37948,0.66989,1.04273,0.99302,1,0.995,0.86034,0.31843,1.35056,0.24938,0.001075,0.001075,0.001075
3,132.173,0.35075,0.58748,1.01332,0.99299,1,0.995,0.96861,0.33464,1.78575,0.24273,0.00158694,0.00158694,0.00158694
4,174.977,0.31846,0.53333,0.97794,0.99735,1,0.995,0.99167,0.24214,0.74788,0.1722,0.00156798,0.00156798,0.00156798
5,219.855,0.2996,0.47881,0.96777,0.99167,1,0.995,0.99247,0.26414,1.26674,0.20874,0.00153497,0.00153497,0.00153497
6,264.412,0.29628,0.44571,0.96802,0.99792,1,0.995,0.99073,0.37034,0.54456,0.26185,0.00150197,0.00150197,0.00150197
7,308.656,0.27182,0.39719,0.9466,0.99777,1,0.995,0.99179,0.39124,0.57702,0.28027,0.00146896,0.00146896,0.00146896
8,352.509,0.25543,0.3719,0.94852,0.99765,1,0.995,0.99179,0.23995,0.47944,0.19703,0.00143595,0.00143595,0.00143595
9,395.321,0.25719,0.35993,0.9415,0.99733,1,0.995,0.99171,0.31511,0.42139,0.23617,0.00140295,0.00140295,0.00140295
10,438.175,0.2416,0.34692,0.93362,0.99851,1,0.995,0.99152,0.24833,0.59667,0.20291,0.00136994,0.00136994,0.00136994
11,482.198,0.23054,0.31028,0.93004,0.9985,1,0.995,0.89393,0.34487,0.55881,0.2598,0.00133693,0.00133693,0.00133693
12,524.798,0.22135,0.29209,0.92918,0.99836,1,0.995,0.97405,0.33192,0.57067,0.2491,0.00130393,0.00130393,0.00130393
13,569.08,0.22225,0.28249,0.93434,0.9981,1,0.995,0.94169,0.31384,0.44138,0.22521,0.00127092,0.00127092,0.00127092
